mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model_name,param_model__fit_intercept,param_model__max_depth,param_model__n_estimators,param_model__learning_rate,param_model__C,param_model__epsilon
0.09295887947082519,0.006914189889982118,0.04149537086486817,0.005126631771831266,0.1,{'model__alpha': 0.1},-30.251267952547344,-45.13779366130617,-28.567657438243224,-39.39906234918598,-32.59986141174632,-35.19112856260581,6.190801424163795,3,ridge,,,,,,
0.11614136695861817,0.023257283056054952,0.037371349334716794,0.004700327053793548,1.0,{'model__alpha': 1},-30.197577253434506,-45.1164009180121,-28.495329983819254,-39.13972568402202,-32.428578104234276,-35.07552238870443,6.1876746026125735,2,ridge,,,,,,
0.09050703048706055,0.016912979024800705,0.03142991065979004,0.003297585364306348,10.0,{'model__alpha': 10},-29.895606150586833,-44.99644060435125,-28.310985405620144,-38.470953712786816,-31.920424931083012,-34.718882160885606,6.194557993176559,1,ridge,,,,,,
0.5329585075378418,0.026789139958168114,0.046515274047851565,0.003887537153007789,0.001,{'model__alpha': 0.001},-30.240990874637784,-45.13408668621871,-28.557524504016566,-39.41275533162578,-32.58811520038375,-35.18669451937652,6.196268151411924,3,lasso,,,,,,
0.4137556552886963,0.07974224541395816,0.08110523223876953,0.02846849556971247,0.01,{'model__alpha': 0.01},-30.126368731465625,-45.079771437654266,-28.42592586297563,-39.312516537910774,-32.337704243696045,-35.05645736274047,6.232851757435426,2,lasso,,,,,,
0.23219690322875977,0.11365159200634879,0.058675718307495114,0.028883245671111082,0.1,{'model__alpha': 0.1},-30.04835823660003,-44.885023255226905,-28.12119781310462,-38.687996121476786,-31.611617332377893,-34.67083855175725,6.2304265766492035,1,lasso,,,,,,
0.1455087184906006,0.013812263359174144,0.061908912658691403,0.010283145029349378,,{'model__fit_intercept': True},-468234922896.14105,-190424712217.93158,-43236824829.913345,-39.430855144426225,-32.62333545999358,-140379292003.20804,178237599258.7423,2,linear,True,,,,,
0.1528979778289795,0.010405116930496823,0.05064449310302734,0.010022583219991386,,{'model__fit_intercept': False},-22525760170.668404,-6370007483.128027,-72024460664.43216,-39.43560303877496,-32.62907389951657,-20184045678.058655,27197541436.43915,1,linear,False,,,,,
9.466617822647095,0.6024837238937482,0.07774138450622559,0.00594255542940001,,"{'model__max_depth': None, 'model__n_estimators': 200}",-29.563354158205218,-42.42171394117684,-30.62545603722049,-29.51184155105982,-31.129564426657865,-32.650386022864055,4.9248820533360265,5,rf,,,200.0,,,
19.222120571136475,0.6433050199375039,0.22161684036254883,0.10161205363366017,,"{'model__max_depth': None, 'model__n_estimators': 400}",-29.562807849872687,-42.57786977958463,-29.93713846721419,-29.348167159464754,-31.177118598394568,-32.52062037090617,5.0683479698256,1,rf,,,400.0,,,
6.2803709506988525,0.3634814933138097,0.06542882919311524,0.003906284361577335,,"{'model__max_depth': 10, 'model__n_estimators': 200}",-29.593545908339944,-43.173282907221314,-29.382246140379046,-29.734000298612163,-31.17238018739471,-32.611091088389436,5.318617397388036,3,rf,,10,200.0,,,
14.335366344451904,0.6781433200142831,0.09635887145996094,0.014911167722937444,,"{'model__max_depth': 10, 'model__n_estimators': 400}",-29.593000995317666,-43.101130684030586,-29.946009779566225,-29.405907997731887,-31.289335445948055,-32.66707698051888,5.2584602581560125,6,rf,,10,400.0,,,
9.783496427536011,0.6173655519423126,0.06496386528015137,0.009094687455660801,,"{'model__max_depth': 20, 'model__n_estimators': 200}",-29.216216952745818,-42.5447005186753,-30.829550003738063,-29.45788623843366,-31.045597088867947,-32.61879016049216,5.015353053502679,4,rf,,20,200.0,,,
14.301671838760376,0.8732628159863591,0.08257522583007812,0.009449447108518848,,"{'model__max_depth': 20, 'model__n_estimators': 400}",-29.324979091229924,-42.627011912978396,-30.49686772646046,-29.370248714751888,-31.202718607112548,-32.60436521050665,5.061096493766009,2,rf,,20,400.0,,,
5.54411129951477,0.3057687455400611,0.05162644386291504,0.014120365532884403,,"{'model__learning_rate': 0.05, 'model__n_estimators': 200}",-30.421429770777262,-42.0924489528247,-26.186772811090258,-30.958720720757075,-31.077876853962586,-32.147449821882375,5.290914600857077,4,gbr,,,200.0,0.05,,
13.451189374923706,1.3772245491451343,0.06727409362792969,0.020532528422082166,,"{'model__learning_rate': 0.05, 'model__n_estimators': 400}",-29.688342139683066,-41.64522026875053,-25.63206685720803,-30.50798162205352,-30.36774517746787,-31.568271213032602,5.345709205059272,2,gbr,,,400.0,0.05,,
7.636737871170044,1.1916805772353811,0.07210888862609863,0.023994139421759254,,"{'model__learning_rate': 0.1, 'model__n_estimators': 200}",-30.809088668602712,-41.76174493319573,-25.28572743830487,-30.059121539297678,-30.560180284301868,-31.695172572740574,5.425253564279522,3,gbr,,,200.0,0.1,,
10.591906356811524,1.96553575348558,0.030545759201049804,0.004829240551928377,,"{'model__learning_rate': 0.1, 'model__n_estimators': 400}",-30.66295825313061,-41.62087354675025,-24.776851297015074,-29.24741090998569,-30.67888805378756,-31.397396412133833,5.550300778754397,1,gbr,,,400.0,0.1,,
3.3449140548706056,0.22198182303466052,1.0201446056365966,0.10825036490340068,,"{'model__C': 0.5, 'model__epsilon': 0.1}",-75.99032357358982,-83.22608777394815,-60.495531472519616,-69.80789803756392,-74.43193987100204,-72.7903561457247,7.508619758578575,5,svr,,,,,0.5,0.1
3.400686025619507,0.1327830806854832,0.9421899795532227,0.04590912268106048,,"{'model__C': 0.5, 'model__epsilon': 0.2}",-75.99778380146853,-83.23159246620251,-60.49389308145856,-69.82342463337913,-74.41816587315697,-72.79297197113314,7.509492990245298,6,svr,,,,,0.5,0.2
3.1176401138305665,0.3706171241691933,1.1170419216156007,0.08262365782917869,,"{'model__C': 1, 'model__epsilon': 0.1}",-68.4898001723542,-77.54083058799228,-53.215374958235614,-62.96503148619499,-67.67143363609584,-65.97649416817458,7.9352186444547765,4,svr,,,,,1.0,0.1
3.1208465099334717,0.18298575951274954,1.0230028629302979,0.06463300594043529,,"{'model__C': 1, 'model__epsilon': 0.2}",-68.49032255195931,-77.53319663707713,-53.223576296648936,-62.96878645439539,-67.65413440754611,-65.97400326952537,7.929367828233763,3,svr,,,,,1.0,0.2
3.0129082202911377,0.6575257057346439,0.8364681243896485,0.20689897632176085,,"{'model__C': 10, 'model__epsilon': 0.1}",-47.108444804697974,-61.41775054551471,-34.414104922668805,-47.447983893833154,-49.82417869015155,-48.04249257137324,8.591050773940792,2,svr,,,,,10.0,0.1
1.5547482013702392,0.08528931359642615,0.386381196975708,0.018570807639708285,,"{'model__C': 10, 'model__epsilon': 0.2}",-47.093347659962404,-61.40786317428015,-34.409587192229175,-47.44298466670707,-49.82713136061434,-48.03618281075863,8.589927389251049,1,svr,,,,,10.0,0.2
